男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
女の学生が、テニスの練習をしている。	女の学生が、テニスの練習をしている。
林の中を1台の自転車が走行しています。	林の中で1台の自転車が走行しています。
道路を荷物を持った人たちが路上を歩いています。	路上を荷物を持った人たちが歩いています。
路上を荷物を持った人たちが歩いています。	荷物を持った人たちが路上を歩いています。
キリンが木々のあいだから顔を出しています。	キリンが、木の中から首を出しています。
真っ赤な二階建てのバスが、停まっています。	赤い二階建てバスが止まっています
りんごとバナナがボウルに、入っています。	入れ物にバナナとりんごが入っている。
ハングルが描かれた誕生日ケーキがあります。	ハングルでデコレーションがされたケーキです。
大きな黒い色の車にひかれたキャンピングカーが３台並んでいます。	駐車場には、三台のピックアップトラックにひかれたキャンピングカーが止まっています。
壁の傍の観葉植物の隣にクマのぬいぐるみが置かれています。	植物の隣にクマのぬいぐるみが置いてあります。
男性がテニスのラケットを振っています。	男性が、テニスでラケットを振っています。
ピッチャーが投球している瞬間です。	野球選手が、ボールを投げようとしています。
ネクタイとペンが机の上に置かれています。	机の上にはネクタイとペンが置いてあります。
広げられた旅行鞄の蓋の上に猫が座っています。	広げられたスーツケースの蓋にネコが座っています。
線路の上を黄色い電車が走っています。	線路の上を黄色い電車が走っています。
服が積まれた室内に犬が一匹います。	テーブルにはシャツやズボンがたたんで重ねられていて、そのもとの絨毯には犬が寝そべっています。
うっそうとした森のなかに牛が数頭佇んでいます。	木や草が茂る中に牛が数頭佇んでいます。
黒い帽子を被り黒い服を着た女性が、黒い傘をさして立っています。	道ばたで黒い色の洋服を着て黒い傘を持った女性が立っています。
男性が両手でフリスビーを持っています。	通りにいる男性が両手でフリスビーを持っています。
自転車に乗った人達が、道を横断しています。	自転車が横断歩道を渡っている。
ソファに座っている女性が大きなブラシを持っています。	ソファーに座った女の人が大きなブラシを持っています。
雪の中、柵の奥にシマウマが2頭います	柵の中の雪の上で、シマウマ二頭が佇んでいます。
通りの脇に縦型の信号機が置いてあり、青信号を示しています。	道路脇に設置されている信号機が青色で点灯しています。
ボードを持った人が一人で波打つ際に立っています。	サーフボードを持った人が波打ち際に立っています。
壁に時計のついた建物の前にたくさんの人が行きかっています。	壁面に時計がつけられた建物の前に多くの人がいます。
男の人のネクタイは紫色のストライプです。	男性が紫色のネクタイをしています。
白い布の上に、裁縫道具が並べられています。	白い布が敷かれた机の上に、裁縫道具が並んでいます。
女性は男性がネクタイをするのを撮影しています。	ネクタイを締める男性の隣で女性がカメラを構えています。
雪山でスノーボードをしている人がいます。	一面の雪景色の中で人がスノーボードをしています。
スケートボードに乗った男性がジャンプしています。	男性がスケートボードに乗ってジャンプしています。
広い海でサーファーが海の中に入っています。	静かな海でサーフィンを持った男性が海の中に入っています。
線路の上を黄色い電車が走っています。	線路の合流地点を黄色い列車が走っています。
男性がビザを持ってポーズを取っています。	ピザを手にした男性が親指を立てて笑顔を見せています。
洗面台のとなりにカーテンがかけられています。	洗面台のとなりにあるカーテンがしまっています。
草原を二頭の大きなゾウが悠々と歩いています。	低い草が茂る草原に二頭の象がいます。
海辺のベンチに人が座っています。	海の見える海岸のベンチに人が座っています。
芝生の上に停められたバイクの周りに二人の男性がいます。	芝生の上にバイクを停めて、２人の男性が立っています。
四人のスノーボーダーが雪山を滑っています。	雪山でスノボーをしている人が４人います。
雪山でスノボーをしている人が４人います。	雪山でスノボーをしている人が４人います。
全身が長い毛に覆われた犬が生のにんじんをかじっています。	黒い毛がフサフサの犬がニンジンを食べています。
二人の女性が両手にコントローラーを持ってテレビゲームを操作しています。	女性二人がテレビゲームをしています。
川のそばの草原に牛の群れがいます。	川のそばの草原に牛が放牧されています。
雪山でニット帽を被ったスキーヤーが転んでいます。	雪山でニット帽を被ったスノーボーダーが転んでいます。
一頭のシマウマが地面に生えた草を食べています。	一頭のシマウマが地面に生えた草を食べています。
コートで握手する女子テニスプレーヤー。	テニスプレーヤー同士がコートの中央で握手をしています。
一匹の犬と一匹の猫が窓の前にいます。	一匹の犬と一匹の猫が窓の前にいます。
フードプロセッサーの中に白い粉が入っています。	フードプロセッサーの中に白い粉末があります。
砂浜で女性と男性が、子供のそばで座っています。	浜辺に海の方を向いて男女と幼い子どもが座っています。
砂浜にサーフボードが刺さっています。	海岸にサーフィンボードが刺さっています。
屋外に道先案内の標識が立っています。	屋外に案内標識が設置されています。
敷布団の上に掛け布団と毛布が折りたたまれています。	敷布団の上に、掛布団と毛布がたたんであります。
雪の平原に立つ、スキーを履いてストックを持って、肩を組んでいる男女です。	雪の上で男性と女性がスキー履いて立っています。
数人の男女が屋外で食事をしています。	数人の男女が外で食事をしています。
２頭のキリンが連なって歩いている。	キリンが2頭、前後して歩いています。
キッチンの冷蔵庫にたくさんのシールが貼ってあります。	キッチンにステッカーの貼られた冷蔵庫があります。
キッチンにある白い冷蔵庫にたくさんのステッカーが貼ってあります。	キッチンの白い冷蔵庫にたくさんのシールが貼ってあります。
雪山に三人の人がスキー姿で立っています。	スキー場の斜面に３人のスキーヤーがいます。
草の生えた岩場の広場で、フリスビーをしている人達がいます。	森林の岩場のある広場で、フリスビーをしている人たちがいます。
浴槽の近くに洗面台が設置されています。	洗面台が設置されているバスルームです。
壁に広告がある所のベンチに女性が二人座っています。	ベンチに二人の女性が座っています。
お皿にピザが二切れ乗せられています。	お皿の上にピザが2枚並べられています。
ジェット飛行機が飛行場に停まっています。	飛行場にジェット飛行機が止まっています。
野球選手がバットにサインをしています。	野球選手がバットにサインをしています。
ベッドの上に赤ん坊と子供が並んで横たわっています。	赤ちゃんと少年がベッドに寝そべっています。
ドーナツをフライヤーで揚がっています。	ドーナッツが油の中で揚げられています。
広場の上で男性がスケボーをしています。	男性が広場でスケートボードをしています。
女の子がスキーを履いて立っています。	小さな子がスキーを履いて、ゲレンデに立っています。
草原に茶色と黒色の牛が五頭います。	茶色や黒い色の牛が５頭、草原で立っています。
テーブルの上に料理が置かれているところです。	人の座っているテーブルに料理の盛られたお皿やカップがあります。
芝生の上にサーフィンボードが置かれています。	芝生の上にサーフボードが置かれています。
庭先にサーフボードが放置されています。	芝生の上にサーフボードが置かれています。
デスクの上にノートパソコンが置かれています。。	茶色の机の上に、黒いノートパソコンが画面を開いて置いてあります。
砂浜で男性と犬が、フリスビーで遊んでいます。	砂浜で、男性が犬とフリスビーをしています。
椅子に座る女性のそばに男性が跪いています。	椅子に座った女性の隣に跪いた男性がいます。
猫がノートパソコンに乗りかかっています。	ネコがノートパソコンに乗っかっています。
黄色い花が一面に咲く草原で一頭の馬が草を食べています。	馬が黄色い花の咲く草原で草を食べているところです。
バッターボックスにはバットを持った打者が立っています。	バッターボックスの打者がバットを持って立っています。
バッターボックスにはバットを持った打者が立っています。	バッターボックスにはバットを持った打者が立っています。
男性がテニスラケットを振っています。	テニスラケットを振っている男性がいます。
女の人が椅子に座りながら携帯電話をかけています。	椅子に座っている女性が携帯電話をしています。
道路を自動車と自転車が走っています。	道路の上を車や自転車などが走っています。
道路を自動車と自転車が走っています。	道路上を車や自転車が走行しています。
白いお皿の上にピザが置かれている。	白いお皿の上にピザが置かれています。
水着を着た女性が青空に凧を揚げています。	浜辺で水着姿の女性が凧揚げをしています。
水着を着た女性が青空に凧を揚げています。	浜辺で水着姿の女性が凧を揚げています。
オレンジ色のトラックが駐車場に停められている。	オレンジ色のトラックが１台停まっています。
男性がオートバイにまたがっています。	黄色いオートバイにまたがっている男性がいます。
赤いリンゴと黄色いオレンジが置かれています。	緑色の机の上に、りんごとオレンジが置いてあります。
犬の頭に帽子をかぶせて抱えられています。	帽子をかぶった犬が人に抱えられています。
街中の道路を大きなバスが走っています。	道路を大きなバスが走っています。
沢山のバナナが棒から下がる紐に吊るされています。	沢山のバナナが紐で吊るされています。
椅子の座面にテレビのリモコンがおいてあります。	椅子のうえにリモコンがおかれています。
水辺で男性がフリスビーを持って構えています。	水辺でフリスビーを持った人が立っています。
座ってテレビを観ている男性がいます。	男性が座って部屋のテレビを見ています。
SL機関車が煙を出しながら走っています。	煙をはきながら機関車が走っています。
羊がワイヤーの柵の隙間から顔を出しています。	柵の隙間から羊が顔を出しています。
水入れの前で、子猫がこちらを見ています。	水飲み皿の横にいる子猫が、こちらを向いています。
道路にある標識に落書きがされています。	落書きされた道路標識が１本存在してます。
上半身裸の男性がサーフボードを乗せたバイクに乗っています。	上半身が裸でウェットスーツを下半身にだけ着ている人が、黒いスクーターにまたがっており、青いサーフボードがスクーターの横に積んであります。
箱の中に、いろいろなドーナツが入っています。	箱の中に数種類のドーナッツが入っています。
女性がスケートボードにのっています。	女性がスケートボードをしています。
電車が川の上にある橋を走っている。	列車が川に架かる橋の上を通過しています。
テーブルの上に料理が置いてあります。	テーブルに料理がならべられています。
男性がトラックの前に立っています。	Ｔシャツを着た男性がトラックの前に立っています。
駅のホームに電車が二種類停まっています。	ホームにふたつの列車が停まっています。
落書きされた壁の上を電車が走っています。	落書きされた壁の上に赤い列車が走っています。
落書きされた壁の上に赤い列車が走っています。	落書きされた壁の上を電車が走っています。
スーパーの果物売り場に数種類の果物が売られています。	果物売り場にたくさんの果物が並んでいます。
紙袋をかぶった人がノートパソコンを操作しています。	紙袋を被った人がノートパソコンをいじっています。
落書きがされているコースで、上半身裸の男性がスケートボードをしています。	上半身裸の男性がスケートボードをしています。
自転車に乗ったジャケットの男性が信号の前で止まっています。	自転車に乗った男性が街の交差点で信号待ちをしています。
男の子が柵の中にいる二匹の象を眺めているところです。	動物園の柵の中のゾウを男の子が見ています。
女性テニスプレイヤーがサーブを打っています。	テニスコートでプレイヤーがサーブをしています。
女性テニスプレイヤーが、試合でサーブを打っています。	テニスの試合にて、女性のテニスプレイヤーがサーブを打ったところです。
男性の前に大きな丸いピザが置かれています。	男性の目の前に大きなピザがあります。
テーブルの上に、花が活けられた花瓶が置かれています。	テーブルの上に花が活けられています。
スノーボードでジャンプしている人がいます。	雪山でスノーボードでジャンプしている人がいます。
トイレの中の白い便器の前に黒いカーペットが置かれています。	トイレに白い便器と黒いマットが置かれている。
ダークグレーの服を着た人が紙に包まれたホットドッグを持っています。	ホットドックを手に持って立っている人がいます。
海でサーフィンをしている人がいます。	海にて、サーファーが波に乗っています。
白い布で覆われたベッドの上に白い枕が二つ置かれています。	白いシーツの敷かれた上に二つの枕が置かれたベッドがあります。
ラケットを持った男性がガッツポーズをしています。	男性ががラケットを片手に持ってガッツポーズをしています。
ラケットを持った男性がコートの上でガッツポーズをしています。	男性ががラケットを片手に持ってガッツポーズをしています。
男性と女性がグラスを持って乾杯をしています。	男性と女性がワイングラスを持っています。
歩道沿いに消火栓が置かれています。	石畳の歩道に消火栓が建っています。
男性がスケートボードに手をかけて立っています。	男性がスケートボードに手をついて立っています。
雪のゲレンデを登っているリフトに二人の人物が座っています。	広いゲレンデで、二人の人物がリフトにのっています。
草原で象が歩いているところです。	草地の上で象が１頭歩いています。
天候が良くない一面雪景色の中、スノーボードをしています。	天気の悪い雪山で、ボードに乗った人が滑っています。
砂浜に立って凧揚げをしている人がいます。	女性が砂浜でゲイラカイトを揚げています。
スキーを履いた人が雪山を歩いています。	スキーをはいた人物が雪道を進んでいます。
片足をスケートボードに乗せている。	スケートボードの上に、片足だけ載せています。
船に乗った犬が身を乗り出して海を見ています。	船に乗ったグレーの毛を持った犬が海を眺めています。
青と赤いペイントがしてある飛行機が空港に止まっています。	青と赤の機体の飛行機が止まっています。
多くのピンクのパラソルとビーチチェアがビーチにある。	ビーチパラソルと椅子がたくさん並べてあります。
２階建てのバスが道路脇に停車しています。	道路脇に二階建てバスが停車しています。
道路わきに２階建てのバスが停車しています。	道路脇に二階建てバスが停車しています。
机上にスマートフォンとコードが置かれています。	テーブルの上に、スマートフォンやケーブルが置いてあります。
一台のバイクにまたがっている１人の男性です。	一人の男性が、バイクにまたがっています。
少年が赤いユニフォームを着てバットを構えています。	赤いユニフォームを着た少年がバットを構えています。
線路の上をライトをつけた列車が走っています。	線路の上を、ライトをつけた列車が走行しています。
飛行場にプロペラ飛行機がたくさん止まっています。	飛行場で飛行機が多くとまっています。
人の足元で子犬が２匹遊んでいます。	人の足元で鼻の黒い2匹の子犬がじゃれあっています。
スキーヤーが斜面を滑っています。	2人のスキーヤーが斜面を滑っています。
様々な種類のドーナツが並んでいます。	いろいろな種類のドーナツが並んでいます。
雪が積もった林の中に、一羽の赤い色をした鳥がいます。	雪の積もった林の中に、鳥が一羽とまっています。
草原に2頭のキリンが立っています。	草原の草むらにキリンが二頭立っています。
スノーボーダーが雪山の斜面を滑っています。	急斜面をスノーボードで滑っている人がいます。
人工芝のコートで、若い女性達がサッカーの指導を受けています。	人工芝のコートで、若い女性達がサッカーの指導を受けています。
街路灯の電柱の隣に駐車料金メーターがあります。	道路わきにある街灯の側に、駐車料金メーターがあります。
２頭のキリンが並んで立っています。	草原に二頭のキリンが佇んでいます。
立派な牙をもつ象とその子供の象が立っている	２頭の親子であるゾウが立っている
赤い2階建てバスが、建物の前に置かれています。	赤いボディの2階建てバスが止まっています。
建物の手前に二階建てバスが止まっています。	赤い２階建てバスが建物の前で止まっています。
水上スキーでジャンプしてる人がいます。	水上スキーをおこなっているひとがいます。
男性がしているネクタイを女性が手に取っています。	女性がスーツを着ている男性のネクタイを触っている。
室内にプロペラがついた飛行機がおかれています。	プロペラ機が室内に展示されています。
三人の子供がテレビゲームで遊んでいます。	3人の子供達が手にリモコンを持ってゲームをしています。
屋根裏部屋にソファーとサイドテーブルと机とイスなどが設置されています。	屋根裏部屋にソファーとサイドテーブルと机とイスなどが設置されています。
屋根裏部屋にソファーとサイドテーブルと机とイスなどが設置されています。	屋根裏部屋にソファーとサイドテーブルと机とイスなどが設置されています。
ピンク色のサッカーのユニフォームを着た女性が座っています。	女性がサッカーのユニフォームを着て座っています。
机の上にデスクトップパソコンとノートパソコンが置いてあります。	机の上に、デスクトップパソコンとノートパソコンが置いてあります。
テーブルにノートパソコンが置いてあります。	テーブルの上にノート型パソコンが置かれています。
シルバーの台の上にピザが四分の一切れ乗っています。	シルバーの台に４分の１に切られたピザが置いてあります。
薄っすらと雪が積もった中を、列車が走っています。	雪のうっすら積もった森の中のレールを列車が走っています。
テニスコートで女性がラケットを構えています。	コートで女性選手がテニスをしています。
カゴの中にバナナやレモン等が入っています。	かごの中にバナナとオレンジ、レモンがあります。
沢山の果物が詰まれた船が航行しています。	船の荷台に、たくさんの果物が積んであります。
ネクタイを締めた子供が椅子に座っています。	椅子に座っている小さな子供が、ネクタイを締めています。
シャツにネクタイ姿の男児が椅子に座っている。	椅子に座っている小さな子供が、ネクタイを締めています。
ヘラを使って鍋の中をかき混ぜています。	台所で鍋のなかの料理をへらでかき混ぜています。
沢山の象が群れになって川の中にいます。	沢山のゾウが群れになって川の中にいるところです。
沢山のゾウが群れになって川の中にいるところです。	草原の中の川の中に象の群れがいます。
キッチンでピザが２つ調理されています。	ピザが2枚調理場で焼かれています。
キリンが高い所にある木の葉を食べている	キリンが首を伸ばして、木についている葉を食べています。
台の上に作りかけのピザが置かれています。	調理途中のピザが台の上にのっています。
木の机の上にはメカニカルなキーボードが置かれています。	木製のテーブルの上に黒いパソコン用キーボードが置かれています。
窓の側とベッドの上に一匹ずつ猫が寝そべっています。	窓枠に一匹の猫がおり、窓際のベッドにももう一匹猫がいます。
文字が書かれた標識が設置されています。	英語と漢字で書かれた標識が立っています。
犬と人がベッドの上で添い寝しています。	茶色い犬に抱きつきながら、人間が寝ています。
飛行機の展示場では、たくさんの飛行機が展示してあります。	会場に多くの飛行機が展示されています。
荷台に犬を乗せた自転車が走っています。	人が、自転車の荷台に白い犬を乗せて走っています。
洗面台の中に白色の猫が座っています。	洗面台の白いシンクに白いネコが入っています。
男性がコントローラーを手にゲームをプレイしています。	部屋の中で男性がテレビゲームを遊んでいます。
自転車のハンドルを両手で持った男性がハットをかぶり脇に犬が座っている。	自転車を持ち帽子をかぶった男性の傍に犬が座っています。
展示されてる柱時計の針が12時20分を指しています。	時計の針が12時20分を指しています。
鐘が設置された建物の上に鳥が巣を作っています。	鐘が設置されている上に鳥が巣を作っています。
サーファーが大きな波に乗っています。	サーフボードに乗った人が波の上でサーフィンをしています。
キッチン台の上にたくさんの野菜があります。	キッチンテーブルにいろいろな種類の野菜があります。
道路をバスが３台通行しているところです。	道路の上を三台のバスが連なって走っています。
スキーヤーが雪の斜面を滑り降りています。	雪の斜面をスキーヤーが滑降しています。
赤い服を着た犬がサイドテーブル下の鏡を見つめている。	サンタ服を着た犬が、鏡を見ています。
犬がフリスビーを咥えています。	犬がフレスビーを口にくわえています。
バイクに乗った男性が前輪を浮かせた状態で走っています。	ライダーがバイクをウィリーさせて走行しています。
砂浜で、サーフボードを抱えたサーファーが歩いています。	砂浜を一人の男性がサーフボードを持って歩いています。
シルバーの貨物列車が線路の上にあります。	銀色の車体の列車が線路の上にあります。
スキー場のゲレンデを数人のスキー客が滑っています。	雪の積もったゲレンデで、スキヤーがスキーをしています。
消火栓から水が吹き出して道路が水浸しになっています。	消火栓から水が吹き出し、道が濡れています。
夜の歩道にパーキングメーターが並んで立っています。	道路脇の歩道にパーキングメーターが設置されています。
道を歩く象の上に三人の人がのっています。	象が背中に三人の人を乗せています。
暖炉のある部屋にソファーが置かれています。	薄く明かりのともった部屋の左側にソファーがあり奥には暖炉があります。
サバンナに1頭のシマウマが佇んでいます。	草原に一頭のシマウマが佇んでいます。
木と草が生い茂る草原に三頭のシマウマがいます。	木も生えている草原を、シマウマが3頭歩いています。
木の枝の間に、ぬいぐるみが挟んであります。	木の枝の間に熊のぬいぐるみが挟まっています。
牧場にくつろいでいる牛が3頭います。	牧場で茶色い牛が三匹横たわっている。
トースターから焼けたピザを取り出しています。	トースターからピザが取り出されています。
バスルームの中にトイレと洗面台があります。	白色の浴槽の近くに、白色の便器と洗面台があります。
子供がぬいぐるみの歯を磨いています。	男の子がぬいぐるみの歯をみがいています。
棚にたくさんのりんごが積み上げられています。	たくさんのリンゴが棚に並んでいます。
たくさんのリンゴが棚に並んでいます。	棚にたくさんのりんごが並べられています。
まだ青いバナナが重ねられて置いてあります。	青いバナナの房が束の状態で置かれています。
少年がパンが乗った皿を両手に持っています。	両方の手に、パンを乗せたお皿を持っている人がいます。
コートを着た女性が建物のわきで携帯電話を見ています。	黒いコートを着た女性が携帯電話を見ています。
凧あげをしている人が砂浜に沢山います。	人のたくさん集まっている砂浜の上空に凧があがっています。
帽子をかぶったスーツ姿の男性がいます。	スーツを着た人が帽子を被っています。
スーツを着た男性が、ウィンクをしているように見えます。	スーツを着た男性が左目をつぶってウインクしているように見えます。
ピックアップトラックの荷台にバナナがたくさん積まれています。	トラックの荷台に、大量のバナナがのせられています。
帽子を被り手綱を持った女性が馬に乗っています。	帽子を被った女性が、馬に乗っています。
お皿の上に食べかけのご飯とフォークが載っています。	皿の上には、食べかけの料理とフォークがあります。
青い傘を差した人が道を歩いています。	雨が降る中、青い傘をさした人が歩いています。
通りにあるゴミ箱に電子レンジが捨てられています。	丸いゴミ箱に電子レンジが捨てられている。
箱の中にドーナツが３個入っています。	箱の中には3個のドーナツが入っています。
サーファーたちが波にのっています。	海の上で、２人のサーファーが波に乗っています。
２人の人がサーフィンをしています。	海の上で、２人のサーファーが波に乗っています。
男性がスケートボードに乗っています。	男性がスケートボードに乗っています。
草原にある水場にに10頭ものシマウマがいる。	草原の水場に多くのシマウマ達がいます。
蒸気機関車が煙を噴き出しています。	蒸気機関車が車体から煙を吐いている。
サーフボードを持って波打ち際を歩いている人達がいます。	サーフボードを持った男性と女性が、砂浜を歩いています。
たくさんの人が、広場で凧揚げをしています。	広場で凧揚げをしている人達がいます。
キリンに餌を与えている女性がいます。	女性がキリンにエサを与えています。
ボールを打ち返そうと構える男性のテニス選手です。	男性のテニスプレイヤーがボールを打ち返そうとしています。
建物が立ち並ぶ町並みの路上で黄色い路面電車が走っています。	黄色い路面電車が街中を走っている。
ホットドックの向こうでソーセージを焼いています。	ホットドッグの奥でソーセージを焼いています。
白いプロペラ機が、空を飛んでいます。	白いプロペラ機が飛行しています。
白いドアの前に２匹の犬が立っています。	白いドアの手前に２匹の犬がいます。
空港の通路にたくさんの人が歩いています。	空港の通路を多くの人が歩いています。
三人の男性が並んでベンチに座っています。	三人の男性が緑色のベンチに座っています。
犬を連れた人が本屋の前で立ち止まっています。	書店の前に犬を連れた男の人が立っています。
キッチンに、容器とスプーンを手に持った女性が立っています。	キッチンに女性が容器とスプーンを持って立っています。
男性と女性が身体を寄せあい、こちらを見て笑っています。	男性と女性が寄り添って、こちらを向いています。
白い犬に横に座った男性がギターを弾いています。	道端でギターを弾く男性の横に犬がいます。
茶色い毛色の牛が二頭と犬が一匹います。	牧場に二頭の牛と一匹の犬がいます。
夜間の道路には街灯がついています。	夜の通りを街灯が照らしています。
野球のピッチャーがボールを投げようとしています。	野球場でピッチャーが投球しようとしています。
段ボールにくるまった少女が立って歯磨きをしています。	段ボールを巻いた女の子が洗面台の前で歯磨きをしています。
ピザにトマトソースがかけられています。	真っ赤なピザソースがかけてあるピザ。
キーボードの上に携帯電話が置かれています。	キーボードの上に携帯電話があります。
芝生の公園で人々がフリスビーで遊んでいます。	公園で数人がフリスビーをしています。
女性テニスプレイヤーがサーブを打っています。	女性テニスプレイヤーがサーブをしています。
スケートボードでジャンプしている男性がいます。	スケートボードに乗っている人がジャンプしています。
スターリンが人の顔が合成されている具を挟んだパンを持っています。	スターリンが人の顔が合成されている具を挟んだパンを片手に持っています。
テニスの試合で、選手がサーブする瞬間です。	テニスプレイヤーが、サーブを打とうとしています。
ゲレンデを滑り降りるスキーヤーがいます。	スキーヤーがゲレンデを滑っています。
街の中を、赤い二階建てバスが走っています。	街中を赤い2階建てバスが走行しています。
街の中を、赤い二階建てバスが走っています。	赤い二階建てのバスが走行している。
男性がスケートボードで滑っています。	歩道を男性がスケートボードで走行しています。
気の枝にくちばしの長い鳥がとまっています。	気の枝にくちばしの短い鳥がとまっています。
ふたりの女性がテレビゲームをプレーしています。	二人の女性がテレビゲームで遊んでいます。
ワイングラスの形の様な変わった形のものがあります。	薄い紫色のワイングラスの様な形をした物が置かれています。
テニスコートでテニスをしている人がいます。	テニス選手がサーブを打とうとしています。
男性が電動歯ブラシで歯を磨いている。	男性が電動歯ブラシを使っています。
二頭のシマウマたちが佇んでいます。	２頭のシマウマが横に並んで立っています。
芝生の上にオレンジ色の熊のぬいぐるみが置かれています。	オレンジ色のクマのぬいぐるみが置かれています。
空港の駐機場に旅客機が停まっています。	飛行場に数機の飛行機が停まっています。
雪山を二人のスキーヤーが歩いています。	雪面を二人のスキーヤーが歩いています。
曇り空に時計塔が建っているところです。	曇り空の下に時計の設置された古い建物が建っています。
左側は瓶が置いてある台の前にいる３人で、右側はピザを持った女性です。	左側は瓶が置いてある台の前に３人いて、右側は女性がピザを持っています。
1匹のネコが窓ガラスの内側から外を見ています。	1匹のネコが窓ガラスの内側から外を見ています。
ショーケースの中にドーナツが並んでいます。	台の上の陳列ケースに数種類のドーナツがあります。
滑走路に小型飛行機が止まっています。	芝生の傍の滑走路に白い小型飛行機が止まっています。
三つのマグカップにはひとつずつ歯ブラシがささっています。	マグカップにそれぞれ歯ブラシが一本ずつ入っています。
三つのマグカップにはひとつずつ歯ブラシがささっています。	壁の棚にハブラシの入ったコップが３つ並べてあります。
水面に浮かぶ船から黒い犬が顔を出しています。	船の上に乗った黒い犬が船べりに顔を乗せています。
スケボーをしている３人の男性が別々にジャンプしています。	人々が路上でスケートボードに乗ってジャンプしています。
馬が沢山の荷物を載せた荷車を引いています。	沢山の荷物を積んだ荷車を、馬が引いています。
台所の椅子の上にノートパソコンが置かれています。	オーブンレンジの前の椅子の上に、パソコンが置いてあります。
オーブンレンジの前の椅子の上に、パソコンが置いてあります。	オーブンの前にあるイスの上に、ノート型パソコンが置いてあります。
オーブンの前に置かれた椅子の上にパソコンがのっています。	オーブンレンジの前にある椅子に、パソコンが置かれています。
女性が犬を連れて、砂浜を散歩しています。	１匹の犬を連れた女性が海岸を歩いています。
海岸でサーフボードを持っている人がいます。	サーファーがサーフボードを持って波打ち際を歩いている。
列車の席に車窓を覗く様に子供が座っています。	2人の子供が電車の座席から外の様子を見ています。
ブロッコリーの入ったスパゲッティです。	ブロッコリーなどの野菜であえたパスタ料理があります。
ヤシの木の上空に二機の飛行機が煙を流しながら飛んでいます。	木の上の空を２機の飛行機が飛んでいます。
女性がリモコンのようなものを持って立っている。	女性がリモコンのようなものを持って立っている。
男性が電車のホームで自転車を押して歩いています。	駅のプラットホームで自転車を押している男性がいます。
色々な種類の果物が陳列されています。	いろいろな果物が、段々に陳列されています。
たくさんの種類の果物が並んでいます。	いろいろな果物が、段々に陳列されています。
雪の斜面にスキーヤーが一人手を挙げて立っています	雪で覆われた斜面で１人のスキーヤーが手を挙げています。
急流でサーファーがボードを持って立っています。	急流で男性がサーフボードを持って立っています。
急流でサーフボードを持っている人がいます。	急流のそばで、サーフボード持つ人がいます。
キッチンに段ボール箱が１箱置かれています。	キッチンの中央に箱が置いてあります。
芝生で2頭のシマウマが草を食べています。	シマウマが２頭、草を食べています。
シマウマが２頭、草を食べています。	柵の中で２頭のシマウマが草を食べています。
棚には小物、時計、本が並んでいます。	茶色い棚の中に時計や本が置かれています。
二人の子供が芝生の上で歯磨きをしています。	子供たちが、外で歯磨きをしています。
女性が三人でピザを手作りで調理しています。	3人の女性たちがピザを作っています。
女性たちがキッチンで料理の後片付けをしています。	キッチンで女性が洗い物をしています。
女性がキッチンで料理の後片付けをしています。	二人の女性がキッチンで料理の後片付けをしています。
